Comments,Surrounding Code Context,Class,Predicted Class
/*sleep and continue waiting*/,"-1.               if(size.QuadPart == pos.QuadPart) {

/*sleep and continue waiting*/

1.                 SleepEx(0, FALSE);
2.                 ReleaseMutex(mutex);
3.                 continue;
4.               }
5.             }
6.           }",Not Useful,1
"/*there is some data available, stop waiting*/","-6.                 SleepEx(0, FALSE);
-5.                 ReleaseMutex(mutex);
-4.                 continue;
-3.               }
-2.             }
-1.           }

/*there is some data available, stop waiting*/

1.           logmsg(""[select_ws_wait_thread] data available, DISK: %p"", handle);
2.           SetEvent(signal);
3.           ReleaseMutex(mutex);
4.           break;
5.         }
6.         else if(ret == WAIT_ABANDONED) {",Not Useful,0
/*check if this is an actual console handle*/,"-10.         * - WaitForMultipleObjectsEx will be signalled on any kind of input,
-9.         *   including mouse and window size events we do not care about.
-8.         *
-7.         * Approach: Loop till either the internal event is signalled
-6.         *           or we get signalled for an actual key-event.
-5.         */
-4.       while(WaitForMultipleObjectsEx(2, handles, FALSE, INFINITE, FALSE)
-3.             == WAIT_OBJECT_0 + 1) {
-2.         ret = WaitForSingleObjectEx(mutex, 0, FALSE);
-1.         if(ret == WAIT_OBJECT_0) {

/*check if this is an actual console handle*/

1.           if(GetConsoleMode(handle, &ret)) {",Not Useful,1
/*retrieve an event from the console buffer*/,"-1.           if(GetConsoleMode(handle, &ret)) {

/*retrieve an event from the console buffer*/

1.             length = 0;
2.             if(PeekConsoleInput(handle, &inputrecord, 1, &length)) {",Not Useful,1
/*check if the event is not an actual key-event*/,"-2.             length = 0;
-1.             if(PeekConsoleInput(handle, &inputrecord, 1, &length)) {

/*check if the event is not an actual key-event*/

1.               if(length == 1 && inputrecord.EventType != KEY_EVENT) {",Not Useful,1
/*purge the non-key-event and continue waiting*/,"-1.               if(length == 1 && inputrecord.EventType != KEY_EVENT) {

/*purge the non-key-event and continue waiting*/

1.                 ReadConsoleInput(handle, &inputrecord, 1, &length);
2.                 ReleaseMutex(mutex);
3.                 continue;
4.               }
5.             }
6.           }",Not Useful,1
"/*there is some data available, stop waiting*/","-6.                 SleepEx(0, FALSE);
-5.                 ReleaseMutex(mutex);
-4.                 continue;
-3.               }
-2.             }
-1.           }

/*there is some data available, stop waiting*/

1.           logmsg(""[select_ws_wait_thread] data available, DISK: %p"", handle);
2.           SetEvent(signal);
3.           ReleaseMutex(mutex);
4.           break;
5.         }
6.         else if(ret == WAIT_ABANDONED) {",Not Useful,1
/*peek into the pipe and retrieve the amount of data available*/,"-7.           break;
-6.         }
-5.       }
-4.       break;
-3.     case FILE_TYPE_PIPE:
-2.        /* The handle represents an anonymous or named pipe, this means:
-1.         * - WaitForMultipleObjectsEx will always be signalled for it.
        * - peek into the pipe and retrieve the amount of data available.

/*peek into the pipe and retrieve the amount of data available*/

1.         *
2.         * Approach: Loop till either the internal event is signalled
3.         *           or there is data in the pipe available for reading.
4.         */
5.       while(WaitForMultipleObjectsEx(1, handles, FALSE, 0, FALSE)
6.             == WAIT_TIMEOUT) {
7.         ret = WaitForSingleObjectEx(mutex, 0, FALSE);
8.         if(ret == WAIT_OBJECT_0) {",Not Useful,1
"/*if there is no data available, sleep and continue waiting*/","-2.           length = 0;
-1.           if(PeekNamedPipe(handle, NULL, 0, NULL, &length, NULL)) {

/*if there is no data available, sleep and continue waiting*/

1.             if(length == 0) {
2.               SleepEx(0, FALSE);
3.               ReleaseMutex(mutex);
4.               continue;
5.             }
6.             else {
7.               logmsg(""[select_ws_wait_thread] PeekNamedPipe len: %d"", length);
8.             }
9.           }
10.           else {",Not Useful,1
"/*there is some data available, stop waiting*/","-6.                 SleepEx(0, FALSE);
-5.                 ReleaseMutex(mutex);
-4.                 continue;
-3.               }
-2.             }
-1.           }

/*there is some data available, stop waiting*/

1.           logmsg(""[select_ws_wait_thread] data available, DISK: %p"", handle);
2.           SetEvent(signal);
3.           ReleaseMutex(mutex);
4.           break;
5.         }
6.         else if(ret == WAIT_ABANDONED) {",Not Useful,1
"/*The handle has an unknown type, try to wait on it*/","-5.           break;
-4.         }
-3.       }
-2.       break;
-1.     default:

/*The handle has an unknown type, try to wait on it*/

1.       if(WaitForMultipleObjectsEx(2, handles, FALSE, INFINITE, FALSE)
2.          == WAIT_OBJECT_0 + 1) {
3.         if(WaitForSingleObjectEx(mutex, 0, FALSE) == WAIT_OBJECT_0) {
4.           logmsg(""[select_ws_wait_thread] data available, HANDLE: %p"", handle);
5.           SetEvent(signal);
6.           ReleaseMutex(mutex);
7.         }
8.       }
9.       break;
10.   }",Not Useful,1
/*allocate internal waiting data structure*/,"-10.       }
-9.       break;
-8.   }
-7.   return 0;
-6. }
-5. static HANDLE select_ws_wait(HANDLE handle, HANDLE signal,
-4.                              HANDLE abort, HANDLE mutex)
-3. {
-2.   struct select_ws_wait_data *data;
-1.   HANDLE thread = NULL;

/*allocate internal waiting data structure*/

1.   data = malloc(sizeof(struct select_ws_wait_data));
2.   if(data) {
3.     data->handle = handle;
4.     data->signal = signal;
5.     data->abort = abort;
6.     data->mutex = mutex;",Not Useful,1
/*free data if thread failed to launch*/,"-3.     thread = CreateThread(NULL, 0,
-2.                           &select_ws_wait_thread,
-1.                           data, 0, NULL);

/*free data if thread failed to launch*/

1.     if(!thread) {
2.       free(data);
3.     }
4.   }
5.   return thread;
6. }
7. struct select_ws_data {",Not Useful,1
/*check if the input value is valid*/,"-10.                      fd_set *exceptfds, struct timeval *tv)
-9. {
-8.   HANDLE abort, mutex, signal, handle, *handles;
-7.   DWORD timeout_ms, wait, nfd, nth, nws, i;
-6.   fd_set readsock, writesock, exceptsock;
-5.   struct select_ws_data *data;
-4.   WSANETWORKEVENTS wsaevents;
-3.   curl_socket_t wsasock;
-2.   int error, ret, fd;
-1.   WSAEVENT wsaevent;

/*check if the input value is valid*/

1.   if(nfds < 0) {
2.     errno = EINVAL;
3.     return -1;
4.   }",Not Useful,1
/*convert struct timeval to milliseconds*/,"-4.   if(nfds < 0) {
-3.     errno = EINVAL;
-2.     return -1;
-1.   }

/*convert struct timeval to milliseconds*/

1.   if(tv) {
2.     timeout_ms = (DWORD)curlx_tvtoms(tv);
3.   }
4.   else {
5.     timeout_ms = INFINITE;
6.   }",Not Useful,1
"/*first handle stdin, stdout and stderr*/","-2.     if(wait != WAIT_FAILED && (wait - WAIT_OBJECT_0) <= i &&
-1.        WaitForSingleObjectEx(handle, 0, FALSE) == WAIT_OBJECT_0) {

/*first handle stdin, stdout and stderr*/

1.       if(fd == fileno(stdin)) {",Not Useful,1
/*sockfd turns CURL_SOCKET_BAD when our connection has been closed*/,"-6.       FD_SET(sockfd, &fds_read);
-5.       maxfd = (int)sockfd;
-4.     }
-3.     break;
-2.   case ACTIVE:
-1.     sockfd = *sockfdp;

/*sockfd turns CURL_SOCKET_BAD when our connection has been closed*/

1.     if(CURL_SOCKET_BAD != sockfd) {
2.       FD_SET(sockfd, &fds_read);
3.       maxfd = (int)sockfd;
4.     }
5.     else {
6.       logmsg(""No socket to read on"");
7.       maxfd = 0;
8.     }
9.     break;
10.   case ACTIVE_DISCONNECT:",Not Useful,1
/*switch(*mode)*/,"-10.     logmsg(""process becomes orphan, exiting"");
-9.     return FALSE;
-8.   }
-7. #endif
-6.   timeout.tv_sec = 120;
-5.   timeout.tv_usec = 0;
-4.   FD_ZERO(&fds_read);
-3.   FD_ZERO(&fds_write);
-2.   FD_ZERO(&fds_err);
-1.   FD_SET((curl_socket_t)fileno(stdin), &fds_read);
  switch(*mode) {

/*switch(*mode)*/

1.   case PASSIVE_LISTEN:",Not Useful,1
/*timeout*/,"-5. };
-4. static int select_ws(int nfds, fd_set *readfds, fd_set *writefds,
-3.                      fd_set *exceptfds, struct timeval *tv)
-2. {
-1.   HANDLE abort, mutex, signal, handle, *handles;
  DWORD timeout_ms, wait, nfd, nth, nws, i;

/*timeout*/

1.   fd_set readsock, writesock, exceptsock;
2.   struct select_ws_data *data;
3.   WSANETWORKEVENTS wsaevents;
4.   curl_socket_t wsasock;
5.   int error, ret, fd;
6.   WSAEVENT wsaevent;",Not Useful,0
"/*send reply on stdout, just proving we are alive*/","-10.        4-digit hexadecimal data length + LF [if the command takes data]
-9.        data                       [the data being as long as set above]
-8.        Commands:
-7.        DATA - plain pass-through data
-6.     */
-5.     if(!read_stdin(buffer, 5))
-4.       return FALSE;
-3.     logmsg(""Received %c%c%c%c (on stdin)"",
-2.            buffer[0], buffer[1], buffer[2], buffer[3]);
-1.     if(!memcmp(""PING"", buffer, 4)) {

/*send reply on stdout, just proving we are alive*/

1.       if(!write_stdout(""PONG\n"", 5))
2.         return FALSE;
3.     }
4.     else if(!memcmp(""PORT"", buffer, 4)) {",Not Useful,1
/*just die*/,"-10.          Replies to PORT with ""IPv[num]/[port]"" */
-9.       msnprintf((char *)buffer, sizeof(buffer), ""%s/%hu\n"", ipv_inuse, port);
-8.       buffer_len = (ssize_t)strlen((char *)buffer);
-7.       msnprintf(data, sizeof(data), ""PORT\n%04zx\n"", buffer_len);
-6.       if(!write_stdout(data, 10))
-5.         return FALSE;
-4.       if(!write_stdout(buffer, buffer_len))
-3.         return FALSE;
-2.     }
-1.     else if(!memcmp(""QUIT"", buffer, 4)) {

/*just die*/

1.       logmsg(""quits"");
2.       return FALSE;
3.     }
4.     else if(!memcmp(""DATA"", buffer, 4)) {",Not Useful,0
/*store the new socket*/,"-10.       curl_socket_t newfd = accept(sockfd, NULL, NULL);
-9.       if(CURL_SOCKET_BAD == newfd) {
-8.         error = SOCKERRNO;
-7.         logmsg(""accept(%d, NULL, NULL) failed with error: (%d) %s"",
-6.                sockfd, error, strerror(error));
-5.       }
-4.       else {
-3.         logmsg(""====> Client connect"");
-2.         if(!write_stdout(""CNCT\n"", 5))
-1.           return FALSE;

/*store the new socket*/

111",Not Useful,0
/*we have connected*/,"-10.       if(CURL_SOCKET_BAD == newfd) {
-9.         error = SOCKERRNO;
-8.         logmsg(""accept(%d, NULL, NULL) failed with error: (%d) %s"",
-7.                sockfd, error, strerror(error));
-6.       }
-5.       else {
-4.         logmsg(""====> Client connect"");
-3.         if(!write_stdout(""CNCT\n"", 5))
-2.           return FALSE;

/*we have connected*/

1.       }
2.       return TRUE;
3.     }",Not Useful,1
"/*read from socket, pass on data to stdout*/","-3.       }
-2.       return TRUE;
-1.     }

/*read from socket, pass on data to stdout*/

1.     nread_socket = sread(sockfd, buffer, sizeof(buffer));
2.     if(nread_socket > 0) {
3.       msnprintf(data, sizeof(data), ""DATA\n%04zx\n"", nread_socket);
4.       if(!write_stdout(data, 10))
5.         return FALSE;
6.       if(!write_stdout(buffer, nread_socket))
7.         return FALSE;
8.       logmsg(""< %zd bytes data, client => server"", nread_socket);
9.       lograw(buffer, nread_socket);
10.     }",Not Useful,1
/*double the sleep for next attempt*/,"-10.                  error, strerror(error));
-9.           sclose(sock);
-8.           return CURL_SOCKET_BAD;
-7.         }
-6.         if(got_exit_signal) {
-5.           logmsg(""signalled to die, exiting..."");
-4.           sclose(sock);
-3.           return CURL_SOCKET_BAD;
-2.         }
-1.         totdelay += delay;

/*double the sleep for next attempt*/

1.       }
2.     }
3.   } while(rc && maxretr--);
4.   if(rc) {
5.     logmsg(""setsockopt(SO_REUSEADDR) failed %d times in %d ms. Error: (%d) %s"",
6.            attempt, totdelay, error, strerror(error));
7.     logmsg(""Continuing anyway..."");
8.   }",Not Useful,0
/*ENABLE_IPV6*/,"-8. #endif
-7. #define DEFAULT_PORT 8999
-6. #ifndef DEFAULT_LOGFILE
-5. #define DEFAULT_LOGFILE ""log/sockfilt.log""
-4. #endif
-3. const char *serverlogfile = DEFAULT_LOGFILE;
-2. static bool verbose = FALSE;
-1. static bool bind_only = FALSE;
#ifdef ENABLE_IPV6

/*ENABLE_IPV6*/

1. static bool use_ipv6 = FALSE;
2. #endif
3. static const char *ipv_inuse = ""IPv4"";
4. static unsigned short port = DEFAULT_PORT;",Not Useful,1
/*start accepting connections*/,"-4.   if(bind_only) {
-3.     logmsg(""instructed to bind port without listening"");
-2.     return sock;
-1.   }

/*start accepting connections*/

1.   rc = listen(sock, 5);
2.   if(0 != rc) {
3.     error = SOCKERRNO;
4.     logmsg(""listen(%d, 5) failed with error: (%d) %s"",
5.            sock, error, strerror(error));
6.     sclose(sock);
7.     return CURL_SOCKET_BAD;
8.   }
9.   return sock;
10. }",Not Useful,1
/*default*/,"-10.       width += 2;
-9.       optr += 2;
-8.       left -= 2;
-7.       break;
-6.     case '\r':
-5.       msnprintf(optr, left, ""\\r"");
-4.       width += 2;
-3.       optr += 2;
-2.       left -= 2;
-1.       break;
    default:

/*default*/

1.       msnprintf(optr, left, ""%c"", (ISGRAPH(ptr[i]) ||
2.                                    ptr[i] == 0x20) ?ptr[i]:'.');
3.       width++;
4.       optr++;
5.       left--;
6.       break;
7.     }
8.     if(width>60) {
9.       logmsg(""'%s'"", data);
10.       width = 0;",Not Useful,1
/*ENABLE_IPV6*/,"-8. #endif
-7. #define DEFAULT_PORT 8999
-6. #ifndef DEFAULT_LOGFILE
-5. #define DEFAULT_LOGFILE ""log/sockfilt.log""
-4. #endif
-3. const char *serverlogfile = DEFAULT_LOGFILE;
-2. static bool verbose = FALSE;
-1. static bool bind_only = FALSE;
#ifdef ENABLE_IPV6

/*ENABLE_IPV6*/

1. static bool use_ipv6 = FALSE;
2. #endif
3. static const char *ipv_inuse = ""IPv4"";
4. static unsigned short port = DEFAULT_PORT;",Not Useful,1
/*errno.h value*/,"-3. #include ""memdebug.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EAGAIN",Not Useful,0
/*errno.h value*/,"-3. #include ""memdebug.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EAGAIN",Not Useful,1
/*errno.h value*/,"-3. #include ""memdebug.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EAGAIN",Not Useful,1
/*previous test number we served*/,"-10.   , socket_domain_inet6 = AF_INET6
-9. #endif
-8. #ifdef USE_UNIX_SOCKETS
-7.   , socket_domain_unix = AF_UNIX
-6. #endif
-5. } socket_domain = AF_INET;
-4. static bool use_gopher = FALSE;
-3. static int serverlogslocked = 0;
-2. static bool is_proxy = FALSE;
-1. #define REQBUFSIZ (2*1024*1024)

/*previous test number we served*/

111",Not Useful,1
/*previous part number we served*/,"-10. #endif
-9. #ifdef USE_UNIX_SOCKETS
-8.   , socket_domain_unix = AF_UNIX
-7. #endif
-6. } socket_domain = AF_INET;
-5. static bool use_gopher = FALSE;
-4. static int serverlogslocked = 0;
-3. static bool is_proxy = FALSE;
-2. #define REQBUFSIZ (2*1024*1024)

/*previous part number we served*/

111",Not Useful,1
/*buffer area for the incoming request*/,"-1. struct httprequest {

/*buffer area for the incoming request*/

111",Not Useful,1
/*if a CONNECT*/,"-2. struct httprequest {

/*if a CONNECT*/

111",Not Useful,1
/*the port number CONNECT used*/,"-3. struct httprequest {

/*the port number CONNECT used*/

111",Not Useful,1
/*where to start checking of the request*/,"-4. struct httprequest {

/*where to start checking of the request*/

111",Not Useful,1
/*size of the incoming request*/,"-5. struct httprequest {

/*size of the incoming request*/

111",Not Useful,1
/*test number found in the request*/,"-6. struct httprequest {

/*test number found in the request*/

111",Not Useful,1
/*part number found in the request*/,"-7. struct httprequest {

/*part number found in the request*/

111",Not Useful,1
/*Authorization header present in the incoming request*/,"-10.   char reqbuf[REQBUFSIZ]; /* buffer area for the incoming request */
-9.   bool connect_request; /* if a CONNECT */
-8.   unsigned short connect_port; /* the port number CONNECT used */
-7.   size_t checkindex; /* where to start checking of the request */
-6.   size_t offset;     /* size of the incoming request */
-5.   long testno;       /* test number found in the request */
-4.   long partno;       /* part number found in the request */
-3.   bool open;      /* keep connection open info, as found in the request */
-2.   bool auth_req;  /* authentication required, don't wait for body unless
-1.                      there's an Authorization header */
  bool auth;      /* Authorization header present in the incoming request */

/*Authorization header present in the incoming request*/

111",Not Useful,1
/*Content-Length of the incoming request*/,"-10.   bool connect_request; /* if a CONNECT */
-9.   unsigned short connect_port; /* the port number CONNECT used */
-8.   size_t checkindex; /* where to start checking of the request */
-7.   size_t offset;     /* size of the incoming request */
-6.   long testno;       /* test number found in the request */
-5.   long partno;       /* part number found in the request */
-4.   bool open;      /* keep connection open info, as found in the request */
-3.   bool auth_req;  /* authentication required, don't wait for body unless
-2.                      there's an Authorization header */
-1.   bool auth;      /* Authorization header present in the incoming request */
  size_t cl;      /* Content-Length of the incoming request */

/*Content-Length of the incoming request*/

111",Not Useful,1
/*Authorization digest header found*/,"-10.   unsigned short connect_port; /* the port number CONNECT used */
-9.   size_t checkindex; /* where to start checking of the request */
-8.   size_t offset;     /* size of the incoming request */
-7.   long testno;       /* test number found in the request */
-6.   long partno;       /* part number found in the request */
-5.   bool open;      /* keep connection open info, as found in the request */
-4.   bool auth_req;  /* authentication required, don't wait for body unless
-3.                      there's an Authorization header */
-2.   bool auth;      /* Authorization header present in the incoming request */
-1.   size_t cl;      /* Content-Length of the incoming request */
  bool digest;    /* Authorization digest header found */

/*Authorization digest header found*/

111",Not Useful,0
/*Authorization ntlm header found*/,"-10.   size_t checkindex; /* where to start checking of the request */
-9.   size_t offset;     /* size of the incoming request */
-8.   long testno;       /* test number found in the request */
-7.   long partno;       /* part number found in the request */
-6.   bool open;      /* keep connection open info, as found in the request */
-5.   bool auth_req;  /* authentication required, don't wait for body unless
-4.                      there's an Authorization header */
-3.   bool auth;      /* Authorization header present in the incoming request */
-2.   size_t cl;      /* Content-Length of the incoming request */
-1.   bool digest;    /* Authorization digest header found */
  bool ntlm;      /* Authorization ntlm header found */

/*Authorization ntlm header found*/

111",Not Useful,1
"/*if non-zero, delay this number of seconds between
                     writes in the response*/","-10.   size_t offset;     /* size of the incoming request */
-9.   long testno;       /* test number found in the request */
-8.   long partno;       /* part number found in the request */
-7.   bool open;      /* keep connection open info, as found in the request */
-6.   bool auth_req;  /* authentication required, don't wait for body unless
-5.                      there's an Authorization header */
-4.   bool auth;      /* Authorization header present in the incoming request */
-3.   size_t cl;      /* Content-Length of the incoming request */
-2.   bool digest;    /* Authorization digest header found */
-1.   bool ntlm;      /* Authorization ntlm header found */
  int writedelay; /* if non-zero, delay this number of seconds between
                     writes in the response */

/*if non-zero, delay this number of seconds between
                     writes in the response*/

111",Not Useful,0
"/*if non-zero, the server is instructed to not read this
                     many bytes from a PUT/POST request. Ie the client sends N
                     bytes said in Content-Length, but the server only reads N
                     - skip bytes.*/","-10.   long partno;       /* part number found in the request */
-9.   bool open;      /* keep connection open info, as found in the request */
-8.   bool auth_req;  /* authentication required, don't wait for body unless
-7.                      there's an Authorization header */
-6.   bool auth;      /* Authorization header present in the incoming request */
-5.   size_t cl;      /* Content-Length of the incoming request */
-4.   bool digest;    /* Authorization digest header found */
-3.   bool ntlm;      /* Authorization ntlm header found */
-2.   int writedelay; /* if non-zero, delay this number of seconds between
-1.                      writes in the response */
  int skip;       /* if non-zero, the server is instructed to not read this
                     many bytes from a PUT/POST request. Ie the client sends N
                     bytes said in Content-Length, but the server only reads N
                     - skip bytes. */

/*if non-zero, the server is instructed to not read this
                     many bytes from a PUT/POST request. Ie the client sends N
                     bytes said in Content-Length, but the server only reads N
                     - skip bytes.*/

111",Not Useful,1
"/*doing a special command, see defines above*/","-10.   bool auth;      /* Authorization header present in the incoming request */
-9.   size_t cl;      /* Content-Length of the incoming request */
-8.   bool digest;    /* Authorization digest header found */
-7.   bool ntlm;      /* Authorization ntlm header found */
-6.   int writedelay; /* if non-zero, delay this number of seconds between
-5.                      writes in the response */
-4.   int skip;       /* if non-zero, the server is instructed to not read this
-3.                      many bytes from a PUT/POST request. Ie the client sends N
-2.                      bytes said in Content-Length, but the server only reads N
-1.                      - skip bytes. */
  int rcmd;       /* doing a special command, see defines above */

/*doing a special command, see defines above*/

111",Not Useful,1
/*times ProcessRequest() gets called*/,"-10.   bool digest;    /* Authorization digest header found */
-9.   bool ntlm;      /* Authorization ntlm header found */
-8.   int writedelay; /* if non-zero, delay this number of seconds between
-7.                      writes in the response */
-6.   int skip;       /* if non-zero, the server is instructed to not read this
-5.                      many bytes from a PUT/POST request. Ie the client sends N
-4.                      bytes said in Content-Length, but the server only reads N
-3.                      - skip bytes. */
-2.   int rcmd;       /* doing a special command, see defines above */
-1.   int prot_version;  /* HTTP version * 10 */
  int callcount;  /* times ProcessRequest() gets called */

/*times ProcessRequest() gets called*/

111",Not Useful,1
/*upgrade request found and allowed*/,"-10.                      many bytes from a PUT/POST request. Ie the client sends N
-9.                      bytes said in Content-Length, but the server only reads N
-8.                      - skip bytes. */

/*upgrade request found and allowed*/

111",Not Useful,1
"/*similar to swsclose in response: close connection after
                     response is sent*/","-10.                      bytes said in Content-Length, but the server only reads N
-9.                      - skip bytes. */

/*similar to swsclose in response: close connection after
                     response is sent*/

1.   int done_processing;
2. };
3. #define MAX_SOCKETS 1024
4. static curl_socket_t all_sockets[MAX_SOCKETS];
5. static size_t num_sockets = 0;
6. static int ProcessRequest(struct httprequest *req);
7. static void storerequest(const char *reqbuf, size_t totalsize);
8. #define DEFAULT_PORT 8999
9. #ifndef DEFAULT_LOGFILE
10. #define DEFAULT_LOGFILE ""log/sws.log""",Not Useful,0
/*very-big-path support*/,"-2. #define DEFAULT_CMDFILE ""log/ftpserver.cmd""
-1. const char *cmdfile = DEFAULT_CMDFILE;

/*very-big-path support*/

1. #define MAXDOCNAMELEN 140000
2. #define MAXDOCNAMELEN_TXT ""139999""
3. #define REQUEST_KEYWORD_SIZE 256
4. #define REQUEST_KEYWORD_SIZE_TXT ""255""
5. #define CMD_AUTH_REQUIRED ""auth_required""",Not Useful,1
/*close connection*/,"-10.                      bytes said in Content-Length, but the server only reads N
-9.                      - skip bytes. */

/*close connection*/

1.                      response is sent */
2.   int done_processing;
3. };
4. #define MAX_SOCKETS 1024
5. static curl_socket_t all_sockets[MAX_SOCKETS];
6. static size_t num_sockets = 0;
7. static int ProcessRequest(struct httprequest *req);
8. static void storerequest(const char *reqbuf, size_t totalsize);
9. #define DEFAULT_PORT 8999
10. #ifndef DEFAULT_LOGFILE",Not Useful,1
"/*IETF//DTD HTML 2.0//EN\"">\n""*/","-5. static const char *doc404 = ""HTTP/1.1 404 Not Found\r\n""
-4.     ""Server: "" SWSVERSION ""\r\n""
-3.     ""Connection: close\r\n""
-2.     ""Content-Type: text/html""
-1.     END_OF_HEADERS

/*IETF//DTD HTML 2.0//EN\"">\n""*/

1.     ""<HTML><HEAD>\n""
2.     ""<TITLE>404 Not Found</TITLE>\n""
3.     ""</HEAD><BODY>\n""
4.     ""<H1>Not Found</H1>\n""
5.     ""The requested URL was not found on this server.\n""
6.     ""<P><HR><ADDRESS>"" SWSVERSION ""</ADDRESS>\n"" ""</BODY></HTML>\n"";",Not Useful,1
/*returns true if the current socket is an IP one*/,"-1. static int already_recv_zeroed_chunk = FALSE;

/*returns true if the current socket is an IP one*/

1. static bool socket_domain_is_ip(void)
2. {
3.   switch(socket_domain) {
4.   case AF_INET:
5. #ifdef ENABLE_IPV6
6.   case AF_INET6:
7. #endif
8.     return true;
9.   default:",Not Useful,1
/*case AF_UNIX:*/,"-9. static bool socket_domain_is_ip(void)
-8. {
-7.   switch(socket_domain) {
-6.   case AF_INET:
-5. #ifdef ENABLE_IPV6
-4.   case AF_INET6:
-3. #endif
-2.     return true;
-1.   default:

/*case AF_UNIX:*/

1.     return false;
2.   }
3. }",Not Useful,1
"/*based on the testno, parse the correct server commands*/","-10.     while(fgets(buf, sizeof(buf), f)) {
-9.       if(1 == sscanf(buf, ""Testnum %d"", &testnum)) {
-8.         logmsg(""[%s] cmdfile says testnum %d"", cmdfile, testnum);
-7.         req->testno = testnum;
-6.       }
-5.     }
-4.     fclose(f);
-3.   }
-2.   return 0;
-1. }

/*based on the testno, parse the correct server commands*/

1. static int parse_servercmd(struct httprequest *req)
2. {
3.   FILE *stream;
4.   int error;
5.   stream = test2fopen(req->testno);
6.   req->close = FALSE;
7.   req->connmon = FALSE;
8.   if(!stream) {
9.     error = errno;
10.     logmsg(""fopen() failed with error: %d %s"", error, strerror(error));",Not Useful,1
/*closes connection*/,"-10. {
-9.   FILE *stream;
-8.   int error;
-7.   stream = test2fopen(req->testno);
-6.   req->close = FALSE;
-5.   req->connmon = FALSE;
-4.   if(!stream) {
-3.     error = errno;
-2.     logmsg(""fopen() failed with error: %d %s"", error, strerror(error));
-1.     logmsg(""  Couldn't open test file %ld"", req->testno);

/*closes connection*/

111",Not Useful,1
/*closes connection*/,"-10. {
-9.   FILE *stream;
-8.   int error;
-7.   stream = test2fopen(req->testno);
-6.   req->close = FALSE;
-5.   req->connmon = FALSE;
-4.   if(!stream) {
-3.     error = errno;
-2.     logmsg(""fopen() failed with error: %d %s"", error, strerror(error));
-1.     logmsg(""  Couldn't open test file %ld"", req->testno);

/*closes connection*/

111",Not Useful,1
/*try to deal with CRLF or just LF*/,"-10.         logmsg(""instructed to reject Expect: 100-continue"");
-9.         req->noexpect = TRUE;
-8.       }
-7.       else if(1 == sscanf(cmd, ""writedelay: %d"", &num)) {
-6.         logmsg(""instructed to delay %d secs between packets"", num);
-5.         req->writedelay = num;
-4.       }
-3.       else {
-2.         logmsg(""Unknown <servercmd> instruction found: %s"", cmd);
-1.       }

/*try to deal with CRLF or just LF*/

1.       check = strchr(cmd, '\r');
2.       if(!check)
3.         check = strchr(cmd, '\n');
4.       if(check) {",Not Useful,1
/*get to the letter following the newline*/,"-4.       check = strchr(cmd, '\r');
-3.       if(!check)
-2.         check = strchr(cmd, '\n');
-1.       if(check) {

/*get to the letter following the newline*/

1.         while((*check == '\r') || (*check == '\n'))
2.           check++;
3.         if(!*check)",Not Useful,1
"/*if we reached a zero, get out*/","-3.         while((*check == '\r') || (*check == '\n'))
-2.           check++;
-1.         if(!*check)

/*if we reached a zero, get out*/

1.           break;
2.         cmd = check;
3.       }
4.       else
5.         break;
6.     }
7.     free(orgcmd);
8.   }",Not Useful,1
/*find the last slash*/,"-10.   }
-9.   else if((req->testno == DOCNUMBER_NOTHING) &&
-8.      sscanf(line,
-7.             ""%"" REQUEST_KEYWORD_SIZE_TXT""s %"" MAXDOCNAMELEN_TXT ""s HTTP/%d.%d"",
-6.             request,
-5.             doc,
-4.             &prot_major,
-3.             &prot_minor) == 4) {
-2.     char *ptr;
-1.     req->prot_version = prot_major*10 + prot_minor;

/*find the last slash*/

1.     ptr = strrchr(doc, '/');",Not Useful,1
/*get the number after it*/,"-1.     ptr = strrchr(doc, '/');

/*get the number after it*/

1.     if(ptr) {
2.       if((strlen(doc) + strlen(request)) < 400)
3.         msnprintf(logbuf, sizeof(logbuf), ""Got request: %s %s HTTP/%d.%d"",
4.                   request, doc, prot_major, prot_minor);
5.       else
6.         msnprintf(logbuf, sizeof(logbuf), ""Got a *HUGE* request HTTP/%d.%d"",
7.                   prot_major, prot_minor);
8.       logmsg(""%s"", logbuf);
9.       if(!strncmp(""/verifiedserver"", ptr, 15)) {
10.         logmsg(""Are-we-friendly question received"");",Not Useful,1
/*skip the slash*/,"-1.       }

/*skip the slash*/

111",Not Useful,1
/*find the last dot*/,"-10.             req->connect_port = curlx_ultous(ulnum);
-9.         }
-8.         logmsg(""Port number: %d, test case number: %ld"",
-7.                req->connect_port, req->testno);
-6.       }
-5.     }
-4.     if(req->testno == DOCNUMBER_NOTHING) {

/*find the last dot*/

1.       ptr = strrchr(doc, '.');",Not Useful,1
